FROM_DATE,STORE_CODE,MODULE_TYPE,MODULE_NAME,AREA,FLOOR_NAME ,INDEX,MODULE_SIZE_WIDTH ,MODULE_SIZE_HEIGHT ,M2_MODULE 
2025/09/01,CHA002,CASHIER_COUNTER,CASHIER_BACK,NORMAL,1,1.8,150,120,2.0
2025/09/01,CHA002,CASHIER_COUNTER,CASHIER_FRONT,NORMAL,1,1.8,105,90,1.0
2025/09/01,CHA002,GONDOLA,CC1,NORMAL,1,1.3,660,200,13.0
2025/09/01,CHA002,GONDOLA,CC2,NORMAL,1,1.3,540,120,6.0
2025/09/01,CHA002,GONDOLA,CC3,NORMAL,1,1.3,600,120,7.0
2025/09/01,CHA002,FLOOR,FLOOR,NORMAL,1,1.0,169,100,2.0
2025/09/01,CHA002,GONDOLA,G10,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G11,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G12,NORMAL,1,1.3,90,120,1.0
2025/09/01,CHA002,GONDOLA,G13,NORMAL,1,1.3,90,120,1.0
2025/09/01,CHA002,GONDOLA,G14,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G15,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G16,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G17,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G18,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G19,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G20,NORMAL,1,1.3,90,120,1.0
2025/09/01,CHA002,GONDOLA,G21,NORMAL,1,1.3,90,120,1.0
2025/09/01,CHA002,GONDOLA,G22,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G23,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G24,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G25,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G26,NORMAL,1,1.3,90,120,1.0
2025/09/01,CHA002,GONDOLA,G27,NORMAL,1,1.3,90,120,1.0
2025/09/01,CHA002,GONDOLA,G28,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G29,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G3,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G30,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G31,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G32,NORMAL,1,1.3,120,120,1.0
2025/09/01,CHA002,GONDOLA,G33,NORMAL,1,1.3,120,120,1.0
